Precision;Encryption;Dimension;Library;Repetition;Difference
40;128;32;S;1;1.819080114364624
40;256;1;S;1;0.6328113079071045
40;256;1;S;1;0.611565351486206
40;128;1;E;1;0.1998298168182373
40;128;1;E;1;0.2265007495880127
40;128;1;E;8;0.19603443145751953
40;256;1;S;2;0.5719447135925293
40;128;2;E;1;0.504840612411499
40;128;1;E;5;0.18697261810302734
40;256;32;P;1;0.0001575946807861328
40;256;1;P;1;0.00010156631469726562
40;256;1;P;1;0.0002543926239013672
40;128;8;E;1;1.9819939136505127
40;128;128;P;1;0.0009655952453613281
40;128;4;P;1;0.00011014938354492188
40;256;128;S;1;100.0965781211853
40;128;1;S;5;0.2921628952026367
40;256;1;P;2;0.00022912025451660156
40;256;8;S;1;1.1929757595062256
40;128;1;P;8;9.989738464355469e-05
40;128;1;S;2;0.30849647521972656
40;256;16;E;1;9.492634057998657
40;128;1;E;9;0.19531822204589844
40;128;16;E;1;4.030689239501953
40;256;4;E;1;3.205923557281494
40;256;1;P;3;0.0002028942108154297
40;128;4;E;1;1.0039088726043701
40;128;32;P;1;0.00017499923706054688
40;128;1;P;6;0.00023555755615234375
40;256;64;P;1;0.00041747093200683594
40;128;16;P;1;0.0001323223114013672
40;256;32;S;1;3.884111166000366
40;128;1;P;2;0.0001227855682373047
40;256;16;S;1;2.0241024494171143
40;256;1;E;1;0.39306640625
40;256;1;E;1;0.40142059326171875
40;256;2;S;1;0.6653540134429932
40;128;128;S;1;296.7338447570801
40;128;1;P;3;0.0002779960632324219
40;256;32;E;1;18.629230976104736
40;256;64;S;1;8.166914463043213
40;128;1;S;1;0.3015756607055664
40;128;1;S;1;0.3212270736694336
40;256;8;P;1;0.00011181831359863281
40;128;1;E;7;0.19614076614379883
40;128;2;P;1;0.0001468658447265625
40;128;1;S;9;0.28629541397094727
40;256;1;E;2;0.3942244052886963
40;128;1;S;7;0.28926897048950195
40;128;1;P;4;0.00010347366333007812
40;128;8;S;1;0.5885307788848877
40;128;2;S;1;0.3232400417327881
40;128;1;P;7;0.00019979476928710938
40;128;4;S;1;0.39048004150390625
40;256;4;P;1;0.000133514404296875
40;128;1;S;8;0.28878331184387207
40;256;16;P;1;0.00013589859008789062
40;128;1;S;10;0.29189133644104004
40;128;1;E;2;0.19186902046203613
40;128;64;S;1;3.71354341506958
40;128;1;E;6;0.19884443283081055
40;256;2;P;1;0.00013947486877441406
40;128;8;P;1;0.0002808570861816406
40;256;128;P;1;0.00067138671875
40;128;64;E;1;19.472408294677734
40;128;16;S;1;0.936004638671875
40;128;1;S;3;0.28864407539367676
40;128;1;P;9;9.799003601074219e-05
40;128;1;P;10;0.00013136863708496094
40;128;1;E;4;0.19745922088623047
40;256;8;E;1;6.379432678222656
40;128;1;P;5;0.00010776519775390625
40;128;1;S;4;0.28641223907470703
40;256;2;E;1;1.0886178016662598
40;128;64;P;1;0.0004525184631347656
40;128;1;S;6;0.28925132751464844
40;128;1;E;3;0.19913506507873535
40;128;32;E;1;8.564311265945435
40;256;4;S;1;0.8251309394836426
40;128;1;E;10;0.19853997230529785
40;128;1;P;1;9.608268737792969e-05
40;128;1;P;1;0.00013136863708496094
